sample	compressor	size	noise	correct
Where the Party At (feat. Nelly) [LP Mix featuring Nelly] 019 Jagged Edge featuring Nelly Where t	gzip	1	1.0	False
Where the Party At (feat. Nelly) [LP Mix featuring Nelly] 019 Jagged Edge featuring Nelly Where t	lzma	1	1.0	False
Where the Party At (feat. Nelly) [LP Mix featuring Nelly] 019 Jagged Edge featuring Nelly Where t	bzip2	1	1.0	False
Bye Bye Bye 043 _NSYNC No Strings Attached	gzip	1	1.0	False
Bye Bye Bye 043 _NSYNC No Strings Attached	lzma	1	1.0	False
Bye Bye Bye 043 _NSYNC No Strings Attached	bzip2	1	1.0	False
Girlfriend 061 Avril Lavigne Girlfriend EP	gzip	1	1.0	False
Girlfriend 061 Avril Lavigne Girlfriend EP	lzma	1	1.0	False
Girlfriend 061 Avril Lavigne Girlfriend EP	bzip2	1	1.0	True
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	gzip	1	1.0	False
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	lzma	1	1.0	False
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	bzip2	1	1.0	False
1 Thing 031 Amerie Touch	gzip	1	1.0	False
1 Thing 031 Amerie Touch	lzma	1	1.0	False
1 Thing 031 Amerie Touch	bzip2	1	1.0	False
1 Thing 031 Amerie Touch	gzip	1	1.0	False
1 Thing 031 Amerie Touch	lzma	1	1.0	False
1 Thing 031 Amerie Touch	bzip2	1	1.0	False
Crazy 036 Gnarls Barkley St. Elsewhere	gzip	1	1.0	False
Crazy 036 Gnarls Barkley St. Elsewhere	lzma	1	1.0	False
Crazy 036 Gnarls Barkley St. Elsewhere	bzip2	1	1.0	False
No Such Thing 078 John Mayer Room for Squares	gzip	1	1.0	False
No Such Thing 078 John Mayer Room for Squares	lzma	1	1.0	False
No Such Thing 078 John Mayer Room for Squares	bzip2	1	1.0	False
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	gzip	1	1.0	False
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	lzma	1	1.0	False
Independent Women, Pt. 1 091 Destiny's Child Survivor (International Edition)	bzip2	1	1.0	False
Get the Party Started 045 P!nk M!ssundaztood	gzip	1	1.0	False
Get the Party Started 045 P!nk M!ssundaztood	lzma	1	1.0	False
Get the Party Started 045 P!nk M!ssundaztood	bzip2	1	1.0	False
Who Let the Dogs Out 060 Baha Men Who Let the Dogs Out	gzip	1	1.0	False
Who Let the Dogs Out 060 Baha Men Who Let the Dogs Out	lzma	1	1.0	True
Who Let the Dogs Out 060 Baha Men Who Let the Dogs Out	bzip2	1	1.0	False
Lose Yourself 059 Eminem 8 Mile (Music from and Inspired By the Motion Picture)	gzip	1	1.0	False
Lose Yourself 059 Eminem 8 Mile (Music from and Inspired By the Motion Picture)	lzma	1	1.0	False
Lose Yourself 059 Eminem 8 Mile (Music from and Inspired By the Motion Picture)	bzip2	1	1.0	False
How You Remind Me 016 Nickelback Silver Side Up	gzip	1	1.0	False
How You Remind Me 016 Nickelback Silver Side Up	lzma	1	1.0	False
How You Remind Me 016 Nickelback Silver Side Up	bzip2	1	1.0	False
Piano Sonatta No. 15 (Mozart)	gzip	1	1.0	False
Piano Sonatta No. 15 (Mozart)	lzma	1	1.0	False
Piano Sonatta No. 15 (Mozart)	bzip2	1	1.0	False
Whatcha Say 048 Jason Derulo Jason Derulo	gzip	1	1.0	False
Whatcha Say 048 Jason Derulo Jason Derulo	lzma	1	1.0	False
Whatcha Say 048 Jason Derulo Jason Derulo	bzip2	1	1.0	False
Lose Yourself 059 Eminem 8 Mile (Music from and Inspired By the Motion Picture)	gzip	1	1.0	False
Lose Yourself 059 Eminem 8 Mile (Music from and Inspired By the Motion Picture)	lzma	1	1.0	False
Lose Yourself 059 Eminem 8 Mile (Music from and Inspired By the Motion Picture)	bzip2	1	1.0	False
Bump, Bump, Bump (B2K and P. Diddy) 082 B2K B2K_ Greatest Hits	gzip	1	1.0	False
Bump, Bump, Bump (B2K and P. Diddy) 082 B2K B2K_ Greatest Hits	lzma	1	1.0	False
Bump, Bump, Bump (B2K and P. Diddy) 082 B2K B2K_ Greatest Hits	bzip2	1	1.0	False
